,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
11,0.74094296,-0.49502587,-0.084076874,-0.0012637782,-0.029513516,0.76989573,0.3791801,0.5799758,0.7162935,0.13862714,-0.8147025,-0.27545375,0.09250823,0.05768621,0.31263956,0.44634548,0.44223705,-0.0055298153,-0.22082373,-0.5143617,-0.41504085,0.35738283,0.3107079,0.24368143,0.16502196,-0.21784757,0.3086337,-0.20968667,0.039674178,0.3622638
12,0.7497507,-0.58618367,-0.38776818,-0.08041286,-0.11786617,0.13500257,0.3698598,0.3081671,-0.5415698,0.54723763,-0.5505891,0.28205416,-0.48938873,0.45212105,0.23965085,-0.5470498,-0.1391818,0.21443535,0.22070771,-0.57189065,0.21212357,-0.6887983,0.32398316,-0.15552247,0.3623434,0.16835067,0.12711555,0.18288787,-0.45113504,0.13921493
13,0.56166345,0.6923796,0.2819765,-0.020434013,-0.31422555,-0.69113094,0.34144437,0.19312441,-0.64521235,-0.8704851,-0.33384982,0.03912268,0.22552146,0.74210215,0.21899003,-0.39451241,0.074214235,0.293156,-0.08319652,0.07990603,-0.32889804,-0.22966495,0.04427963,0.22799622,0.28234747,-0.60445815,0.20313127,-0.1621772,0.3946645,-0.33665434
14,-0.67678756,-0.44119143,-0.5353854,-0.30048138,0.30945206,-0.124635555,0.43327826,0.25031868,0.31733316,0.54859525,-0.3223657,-0.077602886,0.092357025,0.059203755,0.09192744,0.19863404,0.028382188,-0.16535865,0.15187344,0.329366,0.20449716,-0.68133616,0.18268432,-0.4007125,0.075033486,0.1716328,0.46921828,0.39671212,0.009811433,0.532886
15,-0.44370306,0.3450264,0.5545582,0.27054268,0.2137357,-0.785598,0.119408935,0.10132458,0.15836683,0.26696047,0.41681847,-0.21057644,-0.35964516,0.039181102,0.160251,0.44121405,-0.14482667,0.111586474,0.2754895,-0.5503559,-0.20259432,0.03572547,0.22054793,0.52888817,-0.1370037,-0.34732816,0.17125116,-0.060237676,0.2264803,0.14631039
16,-0.57265884,1.0647527,0.198494,-0.35366023,0.37233034,-0.60361916,-0.094273135,-0.27697048,0.0825877,0.5561068,-0.64205307,-0.1944419,0.34090436,-0.52327317,0.11351776,0.08708744,-0.0053845746,0.42369646,0.42035964,-0.41541687,-0.15412779,0.32394925,0.09297216,-0.6642338,-0.14260301,-0.23954903,-0.66354483,-0.31680506,0.21010794,0.11814721
17,0.932193,0.5650072,-0.09726617,-0.4002425,0.3986348,-0.37683296,-0.50956106,0.78519696,-0.2983891,-0.34646395,0.5615303,0.040508106,-0.35050017,0.37734827,0.06797103,0.044322398,0.22712508,0.086845286,0.29528296,0.5933901,0.11860735,0.4160749,0.11153284,0.31345692,0.17640187,-0.26781744,0.12190692,0.5022691,0.42122492,-0.23491874
18,-0.10689718,-0.7717086,-0.08974208,0.3055003,0.4807772,0.22823714,-0.27129972,0.19801132,-0.47308958,-0.6679194,0.43179348,0.1684405,-0.3713046,-0.57476,-0.12317467,0.11289616,0.13552412,-0.112826355,-0.40977618,-0.68742716,-0.06654504,0.08471549,-0.74991083,-0.03325015,0.034911953,0.06242956,-0.5956338,0.26508036,0.26428482,0.17680897
19,-0.46346182,0.40581542,-0.5439687,-0.2765822,-0.24783035,-0.7974227,0.29389322,-0.6908902,-0.21250409,0.37491482,-0.34762615,-0.0033222903,0.64066875,0.60609674,0.28952,0.21518195,0.54208976,0.24514304,0.16756794,-0.4274088,-0.11546457,0.40642065,0.249728,0.16697533,0.25222486,0.56476516,0.19706982,-0.050935604,-0.17469479,-0.5013767
20,0.6559102,0.36538443,0.4175732,0.19607536,-0.048466623,-0.7720876,0.07815029,-0.20742309,0.23177,-0.20369577,0.009893197,0.059190307,0.015848452,-0.038690787,0.10352754,-0.73042434,0.25059697,0.4289898,-0.23014615,-0.56438094,0.08738653,0.102173746,-0.4649538,0.2970118,-0.013685375,-0.40884876,0.538251,-0.15545173,0.2521915,0.19579978
